name,id,name type,recclass,mass (g),fall,year,reclat,reclong
Two Buttes (b),24092,Valid,H,3000,Found,1/1/70 0:00,37.63333,-102.41667
Euclid,10063,Valid,H5,2500,Found,1/1/70 0:00,47.95833,-96.7
Nejo,16941,Valid,L6,2450,Fell,1/1/70 0:00,9.5,35.33333
Hereford,11876,Valid,OC,2276,Found,1/1/70 0:00,33.795,-102.24167
Ellisras,10023,Valid,Iron,2066,Found,1/1/70 0:00,-23.83333,27.91667
Malakal,15394,Valid,L5,2000,Fell,1/1/70 0:00,9.5,31.75
Dora (stone),7713,Valid,OC,1570,Found,1/1/70 0:00,33.92333,-103.35
Kiffa,12303,Valid,H5,1500,Fell,1/1/70 0:00,16.58333,-11.33333
Lakeview,12449,Valid,H4,1238,Found,1/1/70 0:00,34.53333,-101.7
Hart Camp,11846,Valid,H6,1200,Found,1/1/70 0:00,33.99833,-102.17667
Nimberrin,16979,Valid,L6,786,Found,1/1/70 0:00,-31.51667,117.96667
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,1/1/71 0:00,-16.21667,-50.3
Yongning,30365,Valid,"Iron, IAB-ung",60000,Found,1/1/71 0:00,22.75,108.33333
Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630,Found,1/1/71 0:00,26.1,-106.96667
Bunjil,5164,Valid,L6,38750,Found,1/1/71 0:00,-29.62917,116.48222
Salaices,23105,Valid,H4,24500,Found,1/1/71 0:00,27,-105.25
Galatia,10847,Valid,L6,23900,Found,1/1/71 0:00,38.64167,-98.88333
Lone Tree,14683,Valid,H4,20676,Found,1/1/71 0:00,41.5,-91.47917
Polujamki,18861,Valid,H4,18350,Found,1/1/71 0:00,52.1,79.7
Happy Canyon,11821,Valid,EL6/7,16300,Found,1/1/71 0:00,34.80167,-101.56667
Cruz del Eje,51739,Valid,"Iron, IAB complex",14000,Found,1/1/71 0:00,-30.75,-64.78333
Kabo,12220,Valid,H4,13400,Fell,1/1/71 0:00,11.85,8.21667
Rakity,22375,Valid,L3,11400,Found,1/1/71 0:00,51.8,79.9
Elyria,10030,Valid,"Iron, IIIAB",10900,Found,1/1/71 0:00,38.28,-97.365
Ella Island,10018,Valid,L6,7500,Found,1/1/71 0:00,72.88333,-25.11667
Queretaro,22359,Valid,H4,5000,Found,1/1/71 0:00,20.63333,-100.38333
South Plains,23680,Valid,L5,4763,Found,1/1/71 0:00,34.26667,-101.25
North West Forrest (E6),17007,Valid,EL6,4400,Found,1/1/71 0:00,-30.6,127.81667
Shuangyang,23582,Valid,H5,3900,Fell,1/1/71 0:00,43.5,125.66667
Happy (a),11818,Valid,H3,2860,Found,1/1/71 0:00,35.68,-101.99333
Anlong,2305,Valid,H5,2500,Fell,1/1/71 0:00,25.15,105.18333
Marilia,15422,Valid,H4,2500,Fell,1/1/71 0:00,-22.25,-49.93333
Wichita,24256,Valid,H6,2367,Found,1/1/71 0:00,37.59183,-97.21497
Willowbar,24278,Valid,L6,2070,Found,1/1/71 0:00,36.73333,-102.2
Brownell,5150,Valid,L6,2000,Found,1/1/71 0:00,38.69667,-99.70833
Burns Flat,5174,Valid,L6,1987,Found,1/1/71 0:00,35.33333,-99.15
Haver’_,11859,Valid,Ureilite,1544,Fell,1/1/71 0:00,60.24556,22.06194
Bronco,5147,Valid,OC,972,Found,1/1/71 0:00,33.28333,-102.96667
Jeedamya,12077,Valid,H6,914,Found,1/1/71 0:00,-29.58333,121.16667
Happy (c),11820,Valid,OC,884.3,Found,1/1/71 0:00,34.58333,-102.05
Watson 001,24221,Valid,"Iron, IIE",93000,Found,1/1/72 0:00,-30.5,131.55
Northbranch,17010,Valid,H5,76000,Found,1/1/72 0:00,39.99167,-98.34167
Valera,24149,Valid,L5,50000,Fell,1/1/72 0:00,9.31667,-70.62833
Mayfield,15450,Valid,H4,38400,Found,1/1/72 0:00,37.30833,-97.545
Kifkakhsyagan,12304,Valid,"Iron, IIIAB",18800,Found,1/1/72 0:00,64.4,172.7
Hardtner,11827,Valid,L6,13000,Found,1/1/72 0:00,37.06667,-98.66167
Kenna,12277,Valid,Ureilite,10900,Found,1/1/72 0:00,33.9,-103.55333
Delaware,6640,Valid,L4,8346,Found,1/1/72 0:00,35.28333,-93.5
Ipiranga,12043,Valid,H6,7000,Fell,1/1/72 0:00,-25.5,-54.5
Roosevelt,22655,Valid,H3.4,5200,Found,1/1/72 0:00,34.86667,-98.95
Raguli,22373,Valid,H3.8,4239,Found,1/1/72 0:00,45.7,43.7
Flagler,30564,Valid,H3.8,4100,Found,1/1/72 0:00,39.23,-102.99
Anson,2308,Valid,L6,3900,Found,1/1/72 0:00,39.33333,-97.56167
Muleshoe,16846,Valid,H4/6,3600,Found,1/1/72 0:00,34.12167,-102.695
West Point,24246,Valid,L6,3100,Found,1/1/72 0:00,33.075,-102.045
Dor el Gani,7711,Valid,"Iron, IIIAB",2575,Found,1/1/72 0:00,26.95833,16.03333
Happy (b),11819,Valid,OC,2505,Found,1/1/72 0:00,34.59333,-101.99333
Lider (a),14648,Valid,L5,2160,Found,1/1/72 0:00,34.655,-101.64
Lider (b),14649,Valid,H5,1800,Found,1/1/72 0:00,34.655,-101.64
Bowesmont (b),5125,Valid,L5,1300,Found,1/1/72 0:00,48.78333,-97.35
Arch,2327,Valid,CV3,985.8,Found,1/1/72 0:00,34.15,-103.22
Mount Margaret,16781,Valid,L5,850,Found,1/1/72 0:00,-28.83333,122.18333
El Mirage,7809,Valid,"Iron, IIAB",598,Found,1/1/72 0:00,33.68333,-112.26667
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1/1/73 0:00,20.6,44.88333
El Sampal,7817,Valid,"Iron, IIIAB",142000,Found,1/1/73 0:00,-44.53333,-70.36667
Araslanovo,2324,Valid,L/LL5,132000,Found,1/1/73 0:00,55.14167,48.2
Lueders,14750,Valid,"Iron, IAB-MG",35400,Found,1/1/73 0:00,32.83611,-99.60417
Wayside,24225,Valid,H6,23600,Found,1/1/73 0:00,34.80167,-101.68333
Colonia Obrera,5405,Valid,"Iron, IIIE",12200,Found,1/1/73 0:00,24.01667,-104.66667
Lichtenberg,14646,Valid,H6,4000,Fell,1/1/73 0:00,-26.15,26.18333
Canon City,5253,Valid,H6,1400,Fell,1/1/73 0:00,38.47028,-105.24139
